Kategorie,Familie,Material,Bauform,Serie/Verbindungstyp,Metrisch/UNC,Type,PN [bar],filename [.stp]
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN25/32-35L,315,BKH-DN25_32-35L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN25/40-42L,315,BKH-DN25_40-42L-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN4-8S,500,BKH-DN4-8S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN6-10S,500,BKH-DN6-10S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN8-12S,500,BKH-DN8-12S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN10-14S,500,BKH-DN10-14S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN13-16S,500,BKH-DN13-16S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN13-20S,500,BKH-DN13-20S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN16-20S,400,BKH-DN16-20S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN20-25S,315,BKH-DN20-25S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN25-30S,315,BKH-DN25-30S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,DIN 2353 - ISO 8434-1 HEAVY SERIES,,BKH-DN25/32-38S,315,BKH-DN25_32-38S-G
2-way ball valves for gas with threaded connections.xlsx,BKH,Steel,,SAE J514/ISO/DIS11926-1 FEMALE THREAD,,BKH-DN6-7/16" UNF,500,BKH-DN6-7_16 UNF-G
