Kategorie,Familie,Material,Bauform,Serie/Verbindungstyp,Metrisch/UNC,Type,PN [bar],filename [.stp]
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN13-ISO250,350,KH-DN13-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN19-ISO250,350,KH-DN19-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN25-ISO250,315,KH-DN25-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN32-ISO250,250,KH-DN32-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN38-ISO250,250,KH-DN38-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN51-ISO250,250,KH-DN51-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN56-ISO250,250,KH-DN56-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-1,,KH-DN63-ISO250,250,KH-DN63-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN13-ISO400,400,KH-DN13-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN19-ISO400,400,KH-DN19-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN25-ISO400,400,KH-DN25-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN32-ISO400,400,KH-DN32-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN38-ISO400,400,KH-DN38-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN51-ISO400,400,KH-DN51-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN56-ISO400,400,KH-DN56-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN63-ISO400,400,KH-DN63-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN70-ISO400,315,KH-DN70-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN80-ISO400 (PN100),100,KH-DN80-ISO400 (PN100)
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 6164-2,,KH-DN80-ISO400 (PN400),400,-
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN15-ISO320,350,KH-DN15-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN20-ISO320,350,KH-DN20-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN25-ISO320,350,KH-DN25-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN32-ISO320,350,KH-DN32-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN40-ISO320,350,KH-DN40-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN50-ISO320,350,KH-DN50-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN65-ISO320,350,KH-DN65-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN80-ISO320 (PN100),100,KH-DN80-ISO320 (PN100)
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN100-ISO320,350,KH-DN100-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN125-ISO320,350,KH-DN125-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN150-ISO320,350,KH-DN150-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Steel,,ISO 320,,KH-DN200-ISO320,350,KH-DN200-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN13-ISO250,350,KH-DN13-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN19-ISO250,350,KH-DN19-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN25-ISO250,315,KH-DN25-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN32-ISO250,250,KH-DN32-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN38-ISO250,250,KH-DN38-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN51-ISO250,250,KH-DN51-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN56-ISO250,250,KH-DN56-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-1,,KH-DN63-ISO250,250,KH-DN63-ISO250
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN13-ISO400,400,KH-DN13-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN19-ISO400,400,KH-DN19-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN25-ISO400,400,KH-DN25-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN32-ISO400,400,KH-DN32-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN38-ISO400,400,KH-DN38-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN51-ISO400,400,KH-DN51-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN56-ISO400,400,KH-DN56-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN63-ISO400,400,KH-DN63-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN70-ISO400,315,KH-DN70-ISO400
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN80-ISO400 (PN100),100,KH-DN80-ISO400 (PN100)
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 6164-2,,KH-DN80-ISO400 (PN400),400,-
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN15-ISO320,350,KH-DN15-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN20-ISO320,350,KH-DN20-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN25-ISO320,350,KH-DN25-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN32-ISO320,350,KH-DN32-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN40-ISO320,350,KH-DN40-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN50-ISO320,350,KH-DN50-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN65-ISO320,350,KH-DN65-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN80-ISO320 (PN100),100,KH-DN80-ISO320 (PN100)
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN100-ISO320,350,KH-DN100-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN125-ISO320,350,KH-DN125-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN150-ISO320,350,KH-DN150-ISO320
2-way ball valves with ISO connections.xlsx,KH-ISO,Stainless Steel,,ISO 320,,KH-DN200-ISO320,350,KH-DN200-ISO320
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN40-CET250,250,KH-DN40-CET250-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN50-CET250,250,KH-DN50-CET250 (2in)-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN50-CET250,250,KH-DN50-CET250 (2.5in)-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN65-CET250,250,KH-DN65-CET250-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN80-CET250 (PN100),100,-
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN80-CET250 (PN250),250,-
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN100-CET250,250,KH-DN100-CET250-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN40-CET400,400,KH-DN40-CET400-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN50-CET400,400,KH-DN50-CET400 (2in)-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN50-CET400,400,KH-DN50-CET400 (2.5in)-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN65-CET400,400,KH-DN65-CET400-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN80-CET400 (PN100),100,KH-DN80-CET400 (PN100)-STL
2-way ball valves with ISO connections.xlsx,KH-CETOP,Steel,,,,KH-DN80-CET400 (PN400),400,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-1,,BKH-DN13-SAEFS210,350,BKH-DN13-SAEFS210
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-1,,BKH-DN20-SAEFS210,350,BKH-DN20-SAEFS210
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-1,,BKH-DN25-SAEFS210,315,BKH-DN25-SAEFS210
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-1,,BKH-DN13-SAEFS210 Lu,350,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-1,,BKH-DN20-SAEFS210 Lu,350,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-1,,BKH-DN25-SAEFS210 Lu,315,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKH-DN13-SAEFS420,420,BKH-DN13-SAEFS420
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKH-DN20-SAEFS420,420,BKH-DN20-SAEFS420
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKH-DN25-SAEFS420,315,BKH-DN25-SAEFS420
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKHP-DN25-SAEFS420,420,BKHP-DN25-SAEFS420-STL
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKH-DN13-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKH-DN20-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKH-DN25-SAEFS420 Lu,315,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STEEL,,ISO 6162-2,,BKHP-DN25-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKH-DN13-SAEFS210,350,BKH-DN13-SAEFS210
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKH-DN20-SAEFS210,315,BKH-DN20-SAEFS210
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKHP-DN20-SAEFS210,350,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKH-DN25-SAEFS210,315,BKH-DN25-SAEFS210
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKH-DN13-SAEFS210 Lu,350,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKH-DN20-SAEFS210 Lu,315,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKHP-DN20-SAEFS210 Lu,350,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,BKH-DN25-SAEFS210 Lu,315,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKH-DN13-SAEFS420,420,BKH-DN13-SAEFS420
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKH-DN20-SAEFS420,315,BKH-DN20-SAEFS420
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKHP-DN20-SAEFS420,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKH-DN25-SAEFS420,315,BKH-DN25-SAEFS420
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKHP-DN25-SAEFS420,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKH-DN13-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKH-DN20-SAEFS420 Lu,315,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKHP-DN20-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKH-DN25-SAEFS420 Lu,315,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,BKHP-DN25-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-1,,MKHP-DN32-SAEFS210,380,MKHP-DN32-SAEFS210-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-1,,MKHP-DN40-SAEFS210,210,MKHP-DN40-SAEFS210-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-1,,MKHP-DN50-SAEFS210,210,MKHP-DN50-SAEFS210-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-1,,MKHP-DN32-SAEFS210 Lu,280,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-1,,MKHP-DN40-SAEFS210 Lu,210,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-1,,MKHP-DN50-SAEFS210 Lu,210,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-2,,MKHP-DN32-SAEFS420,420,MKHP-DN32-SAEFS420-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-2,,MKHP-DN40-SAEFS420,420,MKHP-DN40-SAEFS420-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-2,,MKHP-DN50-SAEFS420,420,MKHP-DN50-SAEFS420-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-2,,MKHP-DN32-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-2,,MKHP-DN40-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STEEL,,ISO 6162-2,,MKHP-DN50-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,MKHP-DN32-SAEFS210,280,MKHP-DN32-SAEFS210-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,MKHP-DN40-SAEFS210,210,MKHP-DN40-SAEFS210-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,MKHP-DN50-SAEFS210,210,MKHP-DN50-SAEFS210-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,MKHP-DN32-SAEFS210 Lu,280,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,MKHP-DN40-SAEFS210 Lu,210,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-1,,MKHP-DN50-SAEFS210 Lu,210,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,MKHP-DN32-SAEFS420,420,MKHP-DN32-SAEFS420-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,MKHP-DN40-SAEFS420,420,MKHP-DN40-SAEFS420-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,MKHP-DN50-SAEFS420,420,MKHP-DN50-SAEFS420-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,MKHP-DN32-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,MKHP-DN40-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,MKHP-SAEFS,STAINLESS STEEL,,ISO 6162-2,,MKHP-DN50-SAEFS420 Lu,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-1,METRIC,BKH-DN13-SAE210,350,BKH-DN13-SAE210 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-1,METRIC,BKH-DN20-SAE210,350,BKH-DN20-SAE210 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-1,METRIC,BKH-DN25-SAE210,315,BKH-DN25-SAE210 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-1,UNC,BKH-DN13-SAE210,350,BKH-DN13-SAE210 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-1,UNC,BKH-DN20-SAE210,350,BKH-DN20-SAE210 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-1,UNC,BKH-DN25-SAE210,315,BKH-DN25-SAE210 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,METRIC,BKH-DN13-SAE420,420,BKH-DN13-SAE420 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,METRIC,BKH-DN20-SAE420,420,BKH-DN20-SAE420 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,METRIC,BKH-DN25-SAE420,315,BKH-DN25-SAE420 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,METRIC,BKHP-DN25-SAE420,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,UNC,BKH-DN13-SAE420,420,BKH-DN13-SAE420 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,UNC,BKH-DN20-SAE420,420,BKH-DN20-SAE420 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,UNC,BKH-DN25-SAE420,315,BKH-DN25-SAE420 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STEEL,,ISO 6162-2,UNC,BKHP-DN25-SAE420,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,BKH-DN13-SAE210,350,BKH-DN13-SAE210 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,BKH-DN20-SAE210,315,BKH-DN20-SAE210 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,BKHP-DN20-SAE210,350,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,BKH-DN25-SAE210,315,BKH-DN25-SAE210 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,UNC,BKH-DN13-SAE210,350,BKH-DN13-SAE210 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,UNC,BKH-DN20-SAE210,315,BKH-DN20-SAE210 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,UNC,BKHP-DN20-SAE210,350,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-1,UNC,BKH-DN25-SAE210,315,BKH-DN25-SAE210 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,METRIC,BKH-DN13-SAE420,420,BKH-DN13-SAE420 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,METRIC,BKH-DN20-SAE420,315,BKH-DN20-SAE420 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,METRIC,BKHP-DN20-SAE420,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,METRIC,BKH-DN25-SAE420,315,BKH-DN25-SAE420 M
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,METRIC,BKHP-DN25-SAE420,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,UNC,BKH-DN13-SAE420,420,BKH-DN13-SAE420 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,UNC,BKH-DN20-SAE420,315,BKH-DN20-SAE420 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,UNC,BKHP-DN20-SAE420,420,-
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,UNC,BKH-DN25-SAE420,315,BKH-DN25-SAE420 U
2-way ball valves with SAE connections.xlsx,BKH_BKHP-SAE,STAINLESS STEEL,,ISO 6162-2,UNC,BKHP-DN25-SAE420,420,-
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,METRIC,MKHP-DN32-SAE210,210,MKHP-DN32-SAE210 M12-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,METRIC,MKHP-DN32-SAE210,280,MKHP-DN32-SAE210 M-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,METRIC,MKHP-DN40-SAE210,210,MKHP-DN40-SAE210 M-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,METRIC,MKHP-DN50-SAE210,210,MKHP-DN50-SAE210 M-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,METRIC,MKHP-DN50/65-SAE210,175,MKHP-DN50_65-SAE210 M-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,UNC,MKHP-DN32-SAE210,280,MKHP-DN32-SAE210 U-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,UNC,MKHP-DN40-SAE210,210,MKHP-DN40-SAE210 U-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,UNC,MKHP-DN50-SAE210,210,MKHP-DN50-SAE210 U-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-1,UNC,MKHP-DN50/65-SAE210,175,MKHP-DN50_65-SAE210 U-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-2,METRIC,MKHP-DN32-SAE420,400,MKHP-DN32-SAE420 M14-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-2,METRIC,MKHP-DN32-SAE420,420,MKHP-DN32-SAE420 M-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-2,METRIC,MKHP-DN40-SAE420,420,MKHP-DN40-SAE420 M-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-2,METRIC,MKHP-DN50-SAE420,420,MKHP-DN50-SAE420 M-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-2,UNC,MKHP-DN32-SAE420,420,MKHP-DN32-SAE420 U-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-2,UNC,MKHP-DN40-SAE420,420,MKHP-DN40-SAE420 U-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STEEL,,ISO 6162-2,UNC,MKHP-DN50-SAE420,420,MKHP-DN50-SAE420 U-STL
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,MKHP-DN32-SAE210,210,-
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,MKHP-DN32-SAE210,280,MKHP-DN32-SAE210 M-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,MKHP-DN40-SAE210,210,MKHP-DN40-SAE210 M-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,MKHP-DN50-SAE210,210,MKHP-DN50-SAE210 M-SST
2-way ball valves with SAE connections.xlsx,MKHP-SAE,STAINLESS STEEL,,ISO 6162-1,METRIC,MKHP-DN50/65-SAE210,175,MKHP-DN50_65-SAE210 M-SST
