orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN25-SAE210,320,KHZ-DN25-SAE210 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN32-SAE210,280,KHZ-DN32-SAE210 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN40-SAE210,210,KHZ-DN40-SAE210 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN50-SAE210,210,KHZ-DN50-SAE210 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,ISO 6162-2,METRIC,KHZ-DN13-SAE420,420,KHZ-DN13-SAE420 M,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,ISO 6162-2,METRIC,KHZ-DN20-SAE420,420,KHZ-DN20-SAE420 M,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,ISO 6162-2,METRIC,KHZ-DN25-SAE420,420,KHZ-DN25-SAE420 M,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,ISO 6162-2,METRIC,KHZ-DN32-SAE420,420,KHZ-DN32-SAE420 M,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,ISO 6162-2,METRIC,KHZ-DN40-SAE420,420,KHZ-DN40-SAE420 M,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,ISO 6162-2,METRIC,KHZ-DN50-SAE420,420,KHZ-DN50-SAE420 M,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN13-SAE420,420,KHZ-DN13-SAE420 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN20-SAE420,420,KHZ-DN20-SAE420 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN25-SAE420,420,KHZ-DN25-SAE420 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN32-SAE420,420,KHZ-DN32-SAE420 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN40-SAE420,420,KHZ-DN40-SAE420 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KHZ-SAE Stainless Steel,UNC,METRIC,KHZ-DN50-SAE420,420,KHZ-DN50-SAE420 U,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,METRIC,,KH-DN65-SAE210 M-STL,175,KH-DN65-SAE210 M-STL,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,METRIC,,KH-DN80-SAE210 M-STL (PN100),100,KH-DN80-SAE210 M-STL (PN100),
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,METRIC,,KH-DN100-SAE210 M-STL,35,KH-DN100-SAE210 M-STL,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,METRIC,,KH-DN125-SAE210 M-STL,35,KH-DN125-SAE210 M-STL,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,UNC,,KH-DN65-SAE210 U-STL,175,KH-DN65-SAE210 U-STL,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,UNC,,KH-DN80-SAE210 U-STL (PN100),100,KH-DN80-SAE210 U-STL (PN100),
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,UNC,,KH-DN100-SAE210 U-STL,35,KH-DN100-SAE210 U-STL,
orig/2-way ball valves flangeable with SAE connections.xlsx.xml,KH-SAE Steel,UNC,,KH-DN125-SAE210 U-STL,35,KH-DN125-SAE210 U-STL,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN4-G1/8,500,BKH-DN4-G1_8-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN6-G1/4,500,BKH-DN6-G1_4-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN10-G3/8,500,BKH-DN10-G3_8-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN13-G1/2,500,BKH-DN13-G1_2-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN16-G5/8,400,BKH-DN16-G5_8-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN20-G3/4,315,BKH-DN20-G3_4-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN25-G1,315,BKH-DN25-G1-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN25/32-G1 1/4,315,BKH-DN25_32-G1 1_4-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN ISO 228 FEMALE THREAD,,BKH-DN25/40-G1 1/2,315,BKH-DN25_40-G1 1_2-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN4-1/8" NPT,500,BKH-DN4-1_8 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN6-1/4" NPT,500,BKH-DN6-1_4 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN10-3/8" NPT,500,BKH-DN10-3_8 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN13-1/2" NPT,500,BKH-DN13-1_2 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN20-3/4" NPT,315,BKH-DN20-3_4 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN25-1" NPT,315,BKH-DN25-1 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN25/32-1 1/4" NPT,315,BKH-DN25_32-1 1_4 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,ANSI B1.20.1 NPT FEMALE THREAD,,BKH-DN25/40-1 1/2" NPT,250,BKH-DN25_40-1 1_2 NPT-G,
orig/2-way ball valves for gas with threaded connections.xlsx.xml,BKH Steel,DIN 2353 - ISO 8434-1 LIGHT SERIES,,BKH-DN4-6L,500,BKH-DN4-6L-G,
